Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,Utm_easting,Utm_northing,Zone,letter
1698241857.056844,357,1698241857,56464433,GPS1_Frame,42.34156366666666,-71.0848405,12.7,328261.3218554579,4689805.810877068,19,T
1698241858.0545008,358,1698241858,54000139,GPS1_Frame,42.341604999999994,-71.08479733333334,13.4,328264.99039274413,4689810.313440059,19,T
1698241859.0574496,359,1698241859,56966304,GPS1_Frame,42.34163983333333,-71.08475033333335,13.9,328268.95701203425,4689814.086486548,19,T
1698241860.0626078,360,1698241860,62220811,GPS1_Frame,42.34168,-71.08470349999999,14.6,328272.9244175768,4689818.4520980725,19,T
1698241861.0551682,361,1698241861,54899930,GPS1_Frame,42.34172033333333,-71.08465083333334,15.0,328277.37281148933,4689822.824437216,19,T
1698241862.0555131,362,1698241862,55222988,GPS1_Frame,42.34175933333333,-71.084603,15.2,328281.4194090251,4689827.058484116,19,T
1698241863.0555775,363,1698241863,55158615,GPS1_Frame,42.34180249999999,-71.08455416666668,14.9,328285.55972295377,4689831.753190409,19,T
1698241864.0535176,364,1698241864,53160905,GPS1_Frame,42.341842,-71.08451,14.9,328289.30561891664,4689836.050168061,19,T
1698241865.05624,365,1698241865,55062294,GPS1_Frame,42.341879333333324,-71.08446883333333,14.7,328292.79847825237,4689840.112614241,19,T
1698241866.0548892,366,1698241866,54416418,GPS1_Frame,42.3419135,-71.084426,15.3,328296.42000994494,4689843.82006191,19,T
1698241867.057379,367,1698241867,56904554,GPS1_Frame,42.34194083333333,-71.08438733333334,15.0,328299.6796953662,4689846.777135766,19,T
1698241868.052836,368,1698241868,52464246,GPS1_Frame,42.3419615,-71.08435216666666,14.3,328302.6329082381,4689849.000996141,19,T
1698241869.0558746,369,1698241869,55431604,GPS1_Frame,42.3419835,-71.0843215,14.6,328305.21904829715,4689851.382001482,19,T
1698241870.0551627,370,1698241870,54807186,GPS1_Frame,42.34200666666667,-71.084299,15.7,328307.1356101122,4689853.909048625,19,T
1698241871.0582206,371,1698241871,57775974,GPS1_Frame,42.34203133333334,-71.08429233333332,17.2,328307.7519386296,4689856.634632847,19,T
1698241872.0548146,372,1698241872,54271697,GPS1_Frame,42.34204133333333,-71.08428783333333,18.4,328308.14985877613,4689857.735970068,19,T
1698241873.0581307,373,1698241873,56999683,GPS1_Frame,42.34204483333333,-71.08428699999999,19.0,328308.2280339568,4689858.122935783,19,T
1698241874.0525243,374,1698241874,51951885,GPS1_Frame,42.34204483333333,-71.08428633333332,19.6,328308.28295247036,4689858.121589553,19,T
1698241875.055718,375,1698241875,55381298,GPS1_Frame,42.34204666666666,-71.08428716666667,20.1,328308.21929468156,4689858.326850128,19,T
1698241876.0541263,376,1698241876,53817033,GPS1_Frame,42.342046333333336,-71.08428866666667,20.4,328308.0948206928,4689858.292865007,19,T
1698241877.0558379,377,1698241877,55484533,GPS1_Frame,42.34204583333334,-71.08429016666668,20.6,328307.9698930358,4689858.240372814,19,T
1698241878.0540092,378,1698241878,53500175,GPS1_Frame,42.34204566666667,-71.08429166666666,20.9,328307.8458727156,4689858.224894769,19,T
1698241879.0598698,379,1698241879,59421300,GPS1_Frame,42.3420455,-71.0842935,21.1,328307.6943931371,4689858.210089841,19,T
1698241880.0550253,380,1698241880,54542779,GPS1_Frame,42.342045999999996,-71.084296,21.5,328307.48980972834,4689858.270659441,19,T
1698241881.0556133,381,1698241881,55306434,GPS1_Frame,42.34204616666666,-71.0842985,21.9,328307.284318981,4689858.294214903,19,T
1698241882.0561042,382,1698241882,55680751,GPS1_Frame,42.342045999999996,-71.08430033333335,22.2,328307.13283940224,4689858.279409989,19,T
1698241883.055434,383,1698241883,55026531,GPS1_Frame,42.34204566666667,-71.084304,22.3,328306.8298802465,4689858.249800171,19,T
1698241884.0508232,384,1698241884,50450086,GPS1_Frame,42.34204566666667,-71.08430783333333,22.5,328306.5140988014,4689858.257541069,19,T
1698241885.0508957,385,1698241885,50505876,GPS1_Frame,42.3420455,-71.08431033333333,22.7,328306.30770070845,4689858.244082415,19,T
1698241886.053735,386,1698241886,53333520,GPS1_Frame,42.34204566666667,-71.08431283333333,22.9,328306.10220996244,4689858.267637913,19,T
